tournament,date,venue,club,group,round,cycle,court,point_cap,pair_a,pair_a_p1,pair_a_p2,pair_b,pair_b_p1,pair_b_p2,score_a,score_b
T08,2026-06-20,Tallink,Aliris,,3,1,C2,18,T08-03,P040,P003,T08-08,P008,P034,18,8
T08,2026-06-20,Tallink,Aliris,,3,1,C3,18,T08-05,P044,P082,T08-10,P074,P075,18,14
T08,2026-06-20,Tallink,Aliris,,3,1,C4,18,T08-07,P084,P012,T08-04,P001,P014,15,18
T08,2026-06-20,Tallink,Aliris,,3,1,C5,18,T08-09,P037,P007,T08-02,P085,P081,9,18
T08,2026-06-20,Tallink,Aliris,,4,1,C1,18,T08-01,P019,P020,T08-08,P008,P034,18,7
T08,2026-06-20,Tallink,Aliris,,4,1,C2,18,T08-03,P040,P003,T08-10,P074,P075,18,10
T08,2026-06-20,Tallink,Aliris,,4,1,C3,18,T08-05,P044,P082,T08-06,P024,P083,15,18
T08,2026-06-20,Tallink,Aliris,,4,1,C4,18,T08-07,P084,P012,T08-02,P085,P081,18,17
T08,2026-06-20,Tallink,Aliris,,4,1,C5,18,T08-09,P037,P007,T08-04,P001,P014,3,18
T08,2026-06-20,Tallink,Aliris,,5,1,C1,18,T08-01,P019,P020,T08-10,P074,P075,18,11
T08,2026-06-20,Tallink,Aliris,,5,1,C2,18,T08-03,P040,P003,T08-08,P008,P034,17,18
T08,2026-06-20,Tallink,Aliris,,5,1,C3,18,T08-05,P044,P082,T08-02,P085,P081,7,18
T08,2026-06-20,Tallink,Aliris,,5,1,C4,18,T08-07,P084,P012,T08-04,P001,P014,18,14
T08,2026-06-20,Tallink,Aliris,,5,1,C5,18,T08-09,P037,P007,T08-06,P024,P083,10,18
T08,2026-06-20,Tallink,Aliris,,6,1,C1,18,T08-01,P019,P020,T08-10,P074,P075,18,4
T08,2026-06-20,Tallink,Aliris,,6,1,C2,18,T08-03,P040,P003,T08-02,P085,P081,8,18
T08,2026-06-20,Tallink,Aliris,,6,1,C3,18,T08-05,P044,P082,T08-04,P001,P014,13,18
T08,2026-06-20,Tallink,Aliris,,6,1,C4,18,T08-07,P084,P012,T08-06,P024,P083,16,18
T08,2026-06-20,Tallink,Aliris,,6,1,C5,18,T08-09,P037,P007,T08-08,P008,P034,12,18
T08,2026-06-20,Tallink,Aliris,,7,1,C1,18,T08-02,P085,P081,T08-04,P001,P014,13,18
T08,2026-06-20,Tallink,Aliris,,7,1,C2,18,T08-01,P019,P020,T08-03,P040,P003,18,11
T08,2026-06-20,Tallink,Aliris,,7,1,C3,18,T08-05,P044,P082,T08-07,P084,P012,10,18
T08,2026-06-20,Tallink,Aliris,,7,1,C4,18,T08-06,P024,P083,T08-08,P008,P034,18,15
T08,2026-06-20,Tallink,Aliris,,7,1,C5,18,T08-09,P037,P007,T08-10,P074,P075,18,16
T08,2026-06-20,Tallink,Aliris,,8,1,C1,18,T08-02,P085,P081,T08-06,P024,P083,18,10
T08,2026-06-20,Tallink,Aliris,,8,1,C2,18,T08-01,P019,P020,T08-05,P044,P082,18,11
T08,2026-06-20,Tallink,Aliris,,8,1,C3,18,T08-03,P040,P003,T08-09,P037,P007,18,17
T08,2026-06-20,Tallink,Aliris,,8,1,C4,18,T08-04,P001,P014,T08-10,P074,P075,18,7
T08,2026-06-20,Tallink,Aliris,,8,1,C5,18,T08-07,P084,P012,T08-08,P008,P034,18,7
T08,2026-06-20,Tallink,Aliris,,9,1,C1,18,T08-02,P085,P081,T08-08,P008,P034,18,4
T08,2026-06-20,Tallink,Aliris,,9,1,C2,18,T08-01,P019,P020,T08-07,P084,P012,18,17
T08,2026-06-20,Tallink,Aliris,,9,1,C3,18,T08-03,P040,P003,T08-04,P001,P014,16,18
T08,2026-06-20,Tallink,Aliris,,9,1,C4,18,T08-05,P044,P082,T08-09,P037,P007,13,18
T08,2026-06-20,Tallink,Aliris,,9,1,C5,18,T08-06,P024,P083,T08-10,P074,P075,18,3
T08,2026-06-20,Tallink,Aliris,,10,1,C1,18,T08-03,P040,P003,T08-07,P084,P012,18,11
T08,2026-06-20,Tallink,Aliris,,10,1,C2,18,T08-01,P019,P020,T08-09,P037,P007,17,18
T08,2026-06-20,Tallink,Aliris,,10,1,C3,18,T08-02,P085,P081,T08-10,P074,P075,18,6
T08,2026-06-20,Tallink,Aliris,,10,1,C4,18,T08-04,P001,P014,T08-08,P008,P034,18,8
T08,2026-06-20,Tallink,Aliris,,10,1,C5,18,T08-05,P044,P082,T08-06,P024,P083,7,18
T08,2026-06-20,Tallink,Aliris,,11,1,C1,18,T08-03,P040,P003,T08-05,P044,P082,16,18
T08,2026-06-20,Tallink,Aliris,,11,1,C2,18,T08-04,P001,P014,T08-06,P024,P083,18,14
T08,2026-06-20,Tallink,Aliris,,11,1,C3,18,T08-01,P019,P020,T08-02,P085,P081,18,17
T08,2026-06-20,Tallink,Aliris,,11,1,C4,18,T08-07,P084,P012,T08-09,P037,P007,18,12
T08,2026-06-20,Tallink,Aliris,,11,1,C5,18,T08-08,P008,P034,T08-10,P074,P075,17,18
T09,2026-06-27,Tallink,Aliris,,1,1,C2,18,T09-01,P006,P086,T09-02,P019,P020,18,8
T09,2026-06-27,Tallink,Aliris,,1,1,C3,18,T09-03,P001,P057,T09-04,P039,P087,18,14
T09,2026-06-27,Tallink,Aliris,,1,1,C4,18,T09-05,P044,P076,T09-06,P023,P008,17,18
T09,2026-06-27,Tallink,Aliris,,1,1,C5,18,T09-07,P035,P004,T09-08,P037,P016,18,13
T09,2026-06-27,Tallink,Aliris,,1,1,C6,18,T09-09,P088,P090,T09-10,P005,P040,6,18
T09,2026-06-27,Tallink,Aliris,,1,1,C7,18,T09-11,P038,P089,T09-12,P048,P022,18,12
T09,2026-06-27,Tallink,Aliris,,1,1,C8,18,T09-13,P074,P025,T09-14,P058,P070,18,11
T09,2026-06-27,Tallink,Aliris,,2,1,C2,18,T09-01,P006,P086,T09-04,P039,P087,18,16
T09,2026-06-27,Tallink,Aliris,,2,1,C3,18,T09-03,P001,P057,T09-06,P023,P008,14,18
T09,2026-06-27,Tallink,Aliris,,2,1,C4,18,T09-05,P044,P076,T09-08,P037,P016,18,11
T09,2026-06-27,Tallink,Aliris,,2,1,C5,18,T09-07,P035,P004,T09-13,P074,P025,15,18
T09,2026-06-27,Tallink,Aliris,,2,1,C6,18,T09-09,P088,P090,T09-14,P058,P070,13,18
T09,2026-06-27,Tallink,Aliris,,2,1,C7,18,T09-11,P038,P089,T09-02,P019,P020,14,18
T09,2026-06-27,Tallink,Aliris,,2,1,C8,18,T09-12,P048,P022,T09-10,P005,P040,18,13
T09,2026-06-27,Tallink,Aliris,,3,1,C2,18,T09-01,P006,P086,T09-06,P023,P008,18,9
T09,2026-06-27,Tallink,Aliris,,3,1,C3,18,T09-03,P001,P057,T09-08,P037,P016,18,14
T09,2026-06-27,Tallink,Aliris,,3,1,C4,18,T09-05,P044,P076,T09-10,P005,P040,16,18
T09,2026-06-27,Tallink,Aliris,,3,1,C5,18,T09-07,P035,P004,T09-12,P048,P022,18,8
T09,2026-06-27,Tallink,Aliris,,3,1,C6,18,T09-09,P088,P090,T09-02,P019,P020,6,18
T09,2026-06-27,Tallink,Aliris,,3,1,C7,18,T09-11,P038,P089,T09-04,P039,P087,18,16
T09,2026-06-27,Tallink,Aliris,,3,1,C8,18,T09-13,P074,P025,T09-14,P058,P070,18,13
T09,2026-06-27,Tallink,Aliris,,4,1,C2,18,T09-01,P006,P086,T09-08,P037,P016,18,6
T09,2026-06-27,Tallink,Aliris,,4,1,C3,18,T09-03,P001,P057,T09-14,P058,P070,18,13
T09,2026-06-27,Tallink,Aliris,,4,1,C4,18,T09-05,P044,P076,T09-13,P074,P025,18,14
T09,2026-06-27,Tallink,Aliris,,4,1,C5,18,T09-07,P035,P004,T09-02,P019,P020,10,18
T09,2026-06-27,Tallink,Aliris,,4,1,C6,18,T09-09,P088,P090,T09-04,P039,P087,8,18
T09,2026-06-27,Tallink,Aliris,,4,1,C7,18,T09-11,P038,P089,T09-10,P005,P040,13,18
T09,2026-06-27,Tallink,Aliris,,4,1,C8,18,T09-06,P023,P008,T09-12,P048,P022,18,11
T09,2026-06-27,Tallink,Aliris,,5,1,C2,18,T09-01,P006,P086,T09-10,P005,P040,18,13
T09,2026-06-27,Tallink,Aliris,,5,1,C3,18,T09-03,P001,P057,T09-12,P048,P022,18,14
T09,2026-06-27,Tallink,Aliris,,5,1,C4,18,T09-05,P044,P076,T09-02,P019,P020,7,18
T09,2026-06-27,Tallink,Aliris,,5,1,C5,18,T09-07,P035,P004,T09-04,P039,P087,18,15
T09,2026-06-27,Tallink,Aliris,,5,1,C6,18,T09-09,P088,P090,T09-06,P023,P008,6,18
T09,2026-06-27,Tallink,Aliris,,5,1,C7,18,T09-11,P038,P089,T09-14,P058,P070,18,7
T09,2026-06-27,Tallink,Aliris,,5,1,C8,18,T09-08,P037,P016,T09-13,P074,P025,9,18
T09,2026-06-27,Tallink,Aliris,,6,1,C2,18,T09-01,P006,P086,T09-12,P048,P022,18,10
T09,2026-06-27,Tallink,Aliris,,6,1,C3,18,T09-03,P001,P057,T09-02,P019,P020,10,18
T09,2026-06-27,Tallink,Aliris,,6,1,C4,18,T09-05,P044,P076,T09-04,P039,P087,18,10
T09,2026-06-27,Tallink,Aliris,,6,1,C5,18,T09-07,P035,P004,T09-06,P023,P008,17,18
T09,2026-06-27,Tallink,Aliris,,6,1,C6,18,T09-09,P088,P090,T09-08,P037,P016,7,18
T09,2026-06-27,Tallink,Aliris,,6,1,C7,18,T09-11,P038,P089,T09-13,P074,P025,18,13
T09,2026-06-27,Tallink,Aliris,,6,1,C8,18,T09-10,P005,P040,T09-14,P058,P070,18,14
T09,2026-06-27,Tallink,Aliris,,7,1,C2,18,T09-01,P006,P086,T09-03,P001,P057,18,9
T09,2026-06-27,Tallink,Aliris,,7,1,C3,18,T09-02,P019,P020,T09-04,P039,P087,18,17
T09,2026-06-27,Tallink,Aliris,,7,1,C4,18,T09-05,P044,P076,T09-07,P035,P004,18,17
T09,2026-06-27,Tallink,Aliris,,7,1,C5,18,T09-06,P023,P008,T09-08,P037,P016,16,18
T09,2026-06-27,Tallink,Aliris,,7,1,C6,18,T09-09,P088,P090,T09-11,P038,P089,7,18
T09,2026-06-27,Tallink,Aliris,,7,1,C7,18,T09-10,P005,P040,T09-13,P074,P025,18,15
T09,2026-06-27,Tallink,Aliris,,7,1,C8,18,T09-12,P048,P022,T09-14,P058,P070,18,13
T09,2026-06-27,Tallink,Aliris,,8,1,C2,18,T09-01,P006,P086,T09-05,P044,P076,18,16
T09,2026-06-27,Tallink,Aliris,,8,1,C3,18,T09-02,P019,P020,T09-06,P023,P008,18,14
T09,2026-06-27,Tallink,Aliris,,8,1,C4,18,T09-03,P001,P057,T09-09,P088,P090,17,18
T09,2026-06-27,Tallink,Aliris,,8,1,C5,18,T09-04,P039,P087,T09-10,P005,P040,8,18
T09,2026-06-27,Tallink,Aliris,,8,1,C6,18,T09-07,P035,P004,T09-11,P038,P089,17,18
T09,2026-06-27,Tallink,Aliris,,8,1,C7,18,T09-08,P037,P016,T09-14,P058,P070,18,12
T09,2026-06-27,Tallink,Aliris,,8,1,C8,18,T09-12,P048,P022,T09-13,P074,P025,2,18
T09,2026-06-27,Tallink,Aliris,,9,1,C2,18,T09-01,P006,P086,T09-07,P035,P004,15,18
T09,2026-06-27,Tallink,Aliris,,9,1,C3,18,T09-02,P019,P020,T09-08,P037,P016,18,16
T09,2026-06-27,Tallink,Aliris,,9,1,C4,18,T09-03,P001,P057,T09-11,P038,P089,18,15
T09,2026-06-27,Tallink,Aliris,,9,1,C5,18,T09-04,P039,P087,T09-13,P074,P025,12,18
T09,2026-06-27,Tallink,Aliris,,9,1,C6,18,T09-05,P044,P076,T09-09,P088,P090,18,9
T09,2026-06-27,Tallink,Aliris,,9,1,C7,18,T09-06,P023,P008,T09-14,P058,P070,18,8
T09,2026-06-27,Tallink,Aliris,,9,1,C8,18,T09-10,P005,P040,T09-12,P048,P022,18,8
T09,2026-06-27,Tallink,Aliris,,10,1,C2,18,T09-01,P006,P086,T09-09,P088,P090,18,8
T09,2026-06-27,Tallink,Aliris,,10,1,C3,18,T09-02,P019,P020,T09-10,P005,P040,18,17
T09,2026-06-27,Tallink,Aliris,,10,1,C4,18,T09-03,P001,P057,T09-07,P035,P004,10,18
T09,2026-06-27,Tallink,Aliris,,10,1,C5,18,T09-04,P039,P087,T09-08,P037,P016,14,18
T09,2026-06-27,Tallink,Aliris,,10,1,C6,18,T09-06,P023,P008,T09-13,P074,P025,18,16
T09,2026-06-27,Tallink,Aliris,,10,1,C7,18,T09-05,P044,P076,T09-11,P038,P089,11,18
T09,2026-06-27,Tallink,Aliris,,10,1,C8,18,T09-12,P048,P022,T09-14,P058,P070,15,18
T09,2026-06-27,Tallink,Aliris,,11,1,C2,18,T09-01,P006,P086,T09-11,P038,P089,18,9
T09,2026-06-27,Tallink,Aliris,,11,1,C3,18,T09-02,P019,P020,T09-12,P048,P022,18,9
T09,2026-06-27,Tallink,Aliris,,11,1,C4,18,T09-03,P001,P057,T09-05,P044,P076,10,18
T09,2026-06-27,Tallink,Aliris,,11,1,C5,18,T09-04,P039,P087,T09-06,P023,P008,18,7
T09,2026-06-27,Tallink,Aliris,,11,1,C6,18,T09-07,P035,P004,T09-14,P058,P070,18,8
T09,2026-06-27,Tallink,Aliris,,11,1,C7,18,T09-08,P037,P016,T09-10,P005,P040,14,18
T09,2026-06-27,Tallink,Aliris,,11,1,C8,18,T09-09,P088,P090,T09-13,P074,P025,12,18
T10,2026-07-04,Tallink,Aliris,,1,1,C2,18,T10-01,P028,P021,T10-11,P001,P069,18,12
T10,2026-07-04,Tallink,Aliris,,1,1,C3,18,T10-02,P018,P002,T10-12,P010,P006,18,16
T10,2026-07-04,Tallink,Aliris,,1,1,C4,18,T10-03,P039,P008,T10-09,P024,P093,18,15
T10,2026-07-04,Tallink,Aliris,,1,1,C5,18,T10-04,P062,P084,T10-10,P092,P037,18,14
T10,2026-07-04,Tallink,Aliris,,1,1,C6,18,T10-15,P074,P075,T10-05,P036,P003,14,18
T10,2026-07-04,Tallink,Aliris,,1,1,C7,18,T10-06,P023,P091,T10-16,P032,P090,18,11
T10,2026-07-04,Tallink,Aliris,,1,1,C8,18,T10-13,P044,P045,T10-07,P047,P009,16,18
T10,2026-07-04,Tallink,Aliris,,1,1,C9,18,T10-14,P058,P076,T10-08,P005,P040,10,18
T10,2026-07-04,Tallink,Aliris,,2,1,C2,18,T10-01,P028,P021,T10-07,P047,P009,18,7
T10,2026-07-04,Tallink,Aliris,,2,1,C3,18,T10-02,P018,P002,T10-05,P036,P003,18,11
T10,2026-07-04,Tallink,Aliris,,2,1,C4,18,T10-06,P023,P091,T10-08,P005,P040,18,16
T10,2026-07-04,Tallink,Aliris,,2,1,C5,18,T10-04,P062,P084,T10-03,P039,P008,15,18
T10,2026-07-04,Tallink,Aliris,,2,1,C6,18,T10-13,P044,P045,T10-10,P092,P037,16,18
T10,2026-07-04,Tallink,Aliris,,2,1,C7,18,T10-15,P074,P075,T10-09,P024,P093,13,18
T10,2026-07-04,Tallink,Aliris,,2,1,C8,18,T10-16,P032,P090,T10-14,P058,P076,15,18
T10,2026-07-04,Tallink,Aliris,,2,1,C9,18,T10-11,P001,P069,T10-12,P010,P006,18,16
T10,2026-07-04,Tallink,Aliris,,3,1,C2,18,T10-01,P028,P021,T10-10,P092,P037,18,15
T10,2026-07-04,Tallink,Aliris,,3,1,C3,18,T10-03,P039,P008,T10-12,P010,P006,18,7
T10,2026-07-04,Tallink,Aliris,,3,1,C4,18,T10-02,P018,P002,T10-09,P024,P093,16,18
T10,2026-07-04,Tallink,Aliris,,3,1,C5,18,T10-04,P062,P084,T10-11,P001,P069,6,18
T10,2026-07-04,Tallink,Aliris,,3,1,C6,18,T10-05,P036,P003,T10-14,P058,P076,10,18
T10,2026-07-04,Tallink,Aliris,,3,1,C7,18,T10-07,P047,P009,T10-16,P032,P090,18,16
T10,2026-07-04,Tallink,Aliris,,3,1,C8,18,T10-13,P044,P045,T10-06,P023,P091,18,16
T10,2026-07-04,Tallink,Aliris,,3,1,C9,18,T10-08,P005,P040,T10-15,P074,P075,18,14
T10,2026-07-04,Tallink,Aliris,,4,1,C2,18,T10-01,P028,P021,T10-05,P036,P003,18,9
T10,2026-07-04,Tallink,Aliris,,4,1,C3,18,T10-11,P001,P069,T10-15,P074,P075,14,18
T10,2026-07-04,Tallink,Aliris,,4,1,C4,18,T10-12,P010,P006,T10-14,P058,P076,10,18
T10,2026-07-04,Tallink,Aliris,,4,1,C5,18,T10-07,P047,P009,T10-03,P039,P008,18,16
T10,2026-07-04,Tallink,Aliris,,4,1,C6,18,T10-02,P018,P002,T10-08,P005,P040,18,11
T10,2026-07-04,Tallink,Aliris,,4,1,C7,18,T10-06,P023,P091,T10-04,P062,P084,18,15
T10,2026-07-04,Tallink,Aliris,,4,1,C8,18,T10-16,P032,P090,T10-10,P092,P037,18,6
T10,2026-07-04,Tallink,Aliris,,4,1,C9,18,T10-09,P024,P093,T10-13,P044,P045,18,11
T10,2026-07-04,Tallink,Aliris,,5,1,C2,18,T10-01,P028,P021,T10-04,P062,P084,18,10
T10,2026-07-04,Tallink,Aliris,,5,1,C3,18,T10-03,P039,P008,T10-05,P036,P003,10,18
T10,2026-07-04,Tallink,Aliris,,5,1,C4,18,T10-06,P023,P091,T10-02,P018,P002,18,17
T10,2026-07-04,Tallink,Aliris,,5,1,C5,18,T10-07,P047,P009,T10-08,P005,P040,18,10
T10,2026-07-04,Tallink,Aliris,,5,1,C6,18,T10-09,P024,P093,T10-12,P010,P006,18,17
T10,2026-07-04,Tallink,Aliris,,5,1,C7,18,T10-11,P001,P069,T10-13,P044,P045,13,18
T10,2026-07-04,Tallink,Aliris,,5,1,C8,18,T10-14,P058,P076,T10-10,P092,P037,15,18
T10,2026-07-04,Tallink,Aliris,,5,1,C9,18,T10-15,P074,P075,T10-16,P032,P090,15,18
T10,2026-07-04,Tallink,Aliris,,6,1,C2,18,T10-01,P028,P021,T10-03,P039,P008,18,11
T10,2026-07-04,Tallink,Aliris,,6,1,C3,18,T10-04,P062,P084,T10-02,P018,P002,14,18
T10,2026-07-04,Tallink,Aliris,,6,1,C4,18,T10-05,P036,P003,T10-08,P005,P040,18,9
T10,2026-07-04,Tallink,Aliris,,6,1,C5,18,T10-07,P047,P009,T10-06,P023,P091,14,18
T10,2026-07-04,Tallink,Aliris,,6,1,C6,18,T10-09,P024,P093,T10-11,P001,P069,18,17
T10,2026-07-04,Tallink,Aliris,,6,1,C7,18,T10-14,P058,P076,T10-15,P074,P075,18,6
T10,2026-07-04,Tallink,Aliris,,6,1,C8,18,T10-10,P092,P037,T10-12,P010,P006,18,12
T10,2026-07-04,Tallink,Aliris,,6,1,C9,18,T10-13,P044,P045,T10-16,P032,P090,18,4
T10,2026-07-04,Tallink,Aliris,,7,1,C2,18,T10-01,P028,P021,T10-02,P018,P002,18,14
T10,2026-07-04,Tallink,Aliris,,7,1,C3,18,T10-07,P047,P009,T10-04,P062,P084,18,16
T10,2026-07-04,Tallink,Aliris,,7,1,C4,18,T10-05,P036,P003,T10-06,P023,P091,18,14
T10,2026-07-04,Tallink,Aliris,,7,1,C5,18,T10-03,P039,P008,T10-08,P005,P040,18,17
T10,2026-07-04,Tallink,Aliris,,7,1,C6,18,T10-09,P024,P093,T10-10,P092,P037,18,17
T10,2026-07-04,Tallink,Aliris,,7,1,C7,18,T10-12,P010,P006,T10-15,P074,P075,18,8
T10,2026-07-04,Tallink,Aliris,,7,1,C8,18,T10-13,P044,P045,T10-14,P058,P076,18,15
T10,2026-07-04,Tallink,Aliris,,7,1,C9,18,T10-11,P001,P069,T10-16,P032,P090,15,18
T10,2026-07-04,Tallink,Aliris,,8,1,C2,18,T10-01,P028,P021,T10-09,P024,P093,18,16
T10,2026-07-04,Tallink,Aliris,,8,1,C3,18,T10-02,P018,P002,T10-10,P092,P037,18,15
T10,2026-07-04,Tallink,Aliris,,8,1,C4,18,T10-03,P039,P008,T10-11,P001,P069,18,16
T10,2026-07-04,Tallink,Aliris,,8,1,C5,18,T10-04,P062,P084,T10-12,P010,P006,18,12
T10,2026-07-04,Tallink,Aliris,,8,1,C6,18,T10-08,P005,P040,T10-16,P032,P090,18,13
T10,2026-07-04,Tallink,Aliris,,8,1,C7,18,T10-06,P023,P091,T10-14,P058,P076,18,11
T10,2026-07-04,Tallink,Aliris,,8,1,C8,18,T10-05,P036,P003,T10-13,P044,P045,18,17
T10,2026-07-04,Tallink,Aliris,,8,1,C9,18,T10-15,P074,P075,T10-07,P047,P009,13,18
T10,2026-07-04,Tallink,Aliris,,9,1,C2,18,T10-01,P028,P021,T10-08,P005,P040,18,10
T10,2026-07-04,Tallink,Aliris,,9,1,C3,18,T10-02,P018,P002,T10-07,P047,P009,18,6
T10,2026-07-04,Tallink,Aliris,,9,1,C4,18,T10-03,P039,P008,T10-06,P023,P091,18,12
T10,2026-07-04,Tallink,Aliris,,9,1,C5,18,T10-04,P062,P084,T10-05,P036,P003,7,18
T10,2026-07-04,Tallink,Aliris,,9,1,C6,18,T10-16,P032,P090,T10-09,P024,P093,12,18
T10,2026-07-04,Tallink,Aliris,,9,1,C7,18,T10-11,P001,P069,T10-14,P058,P076,15,18
T10,2026-07-04,Tallink,Aliris,,9,1,C8,18,T10-10,P092,P037,T10-15,P074,P075,18,8
T10,2026-07-04,Tallink,Aliris,,9,1,C9,18,T10-13,P044,P045,T10-12,P010,P006,18,14
T10,2026-07-04,Tallink,Aliris,,10,1,C2,18,T10-01,P028,P021,T10-06,P023,P091,13,18
T10,2026-07-04,Tallink,Aliris,,10,1,C3,18,T10-02,P018,P002,T10-03,P039,P008,14,18
T10,2026-07-04,Tallink,Aliris,,10,1,C4,18,T10-05,P036,P003,T10-07,P047,P009,18,11
T10,2026-07-04,Tallink,Aliris,,10,1,C5,18,T10-04,P062,P084,T10-08,P005,P040,16,18
T10,2026-07-04,Tallink,Aliris,,10,1,C6,18,T10-10,P092,P037,T10-11,P001,P069,14,18
T10,2026-07-04,Tallink,Aliris,,10,1,C7,18,T10-12,P010,P006,T10-16,P032,P090,18,16
T10,2026-07-04,Tallink,Aliris,,10,1,C8,18,T10-13,P044,P045,T10-15,P074,P075,18,15
T10,2026-07-04,Tallink,Aliris,,10,1,C9,18,T10-14,P058,P076,T10-09,P024,P093,10,18
T10,2026-07-04,Tallink,Aliris,,11,1,C2,18,T10-01,P028,P021,T10-12,P010,P006,18,13
T10,2026-07-04,Tallink,Aliris,,11,1,C3,18,T10-02,P018,P002,T10-13,P044,P045,18,8
T10,2026-07-04,Tallink,Aliris,,11,1,C4,18,T10-03,P039,P008,T10-10,P092,P037,18,17
T10,2026-07-04,Tallink,Aliris,,11,1,C5,18,T10-04,P062,P084,T10-14,P058,P076,12,18
T10,2026-07-04,Tallink,Aliris,,11,1,C6,18,T10-07,P047,P009,T10-09,P024,P093,15,18
T10,2026-07-04,Tallink,Aliris,,11,1,C7,18,T10-08,P005,P040,T10-11,P001,P069,12,18
T10,2026-07-04,Tallink,Aliris,,11,1,C8,18,T10-06,P023,P091,T10-15,P074,P075,18,12
T10,2026-07-04,Tallink,Aliris,,11,1,C9,18,T10-05,P036,P003,T10-16,P032,P090,18,15
T11,2026-07-11,Tallink,Aliris,,1,1,C2,18,T11-03,P023,P009,T11-04,P039,P014,18,8
T11,2026-07-11,Tallink,Aliris,,1,1,C3,18,T11-07,P022,P065,T11-06,P087,P094,11,18
T11,2026-07-11,Tallink,Aliris,,1,1,C4,18,T11-05,P040,P005,T11-08,P095,P090,18,12
T11,2026-07-11,Tallink,Aliris,,1,1,C5,18,T11-09,P096,P004,T11-10,P076,P055,18,7
T11,2026-07-11,Tallink,Aliris,,1,1,C6,18,T11-01,P028,P021,T11-02,P001,P012,13,18
T11,2026-07-11,Tallink,Aliris,,2,1,C2,18,T11-03,P023,P009,T11-06,P087,P094,18,12
T11,2026-07-11,Tallink,Aliris,,2,1,C3,18,T11-05,P040,P005,T11-08,P095,P090,18,2
T11,2026-07-11,Tallink,Aliris,,2,1,C4,18,T11-07,P022,P065,T11-10,P076,P055,15,18
T11,2026-07-11,Tallink,Aliris,,2,1,C5,18,T11-01,P028,P021,T11-04,P039,P014,18,9
T11,2026-07-11,Tallink,Aliris,,2,1,C6,18,T11-09,P096,P004,T11-02,P001,P012,9,18
T11,2026-07-11,Tallink,Aliris,,3,1,C2,18,T11-03,P023,P009,T11-08,P095,P090,18,8
T11,2026-07-11,Tallink,Aliris,,3,1,C3,18,T11-05,P040,P005,T11-10,P076,P055,18,11
T11,2026-07-11,Tallink,Aliris,,3,1,C4,18,T11-07,P022,P065,T11-04,P039,P014,11,18
T11,2026-07-11,Tallink,Aliris,,3,1,C5,18,T11-09,P096,P004,T11-02,P001,P012,18,5
T11,2026-07-11,Tallink,Aliris,,3,1,C6,18,T11-01,P028,P021,T11-06,P087,P094,18,14
T11,2026-07-11,Tallink,Aliris,,4,1,C2,18,T11-03,P023,P009,T11-10,P076,P055,18,12
T11,2026-07-11,Tallink,Aliris,,4,1,C3,18,T11-05,P040,P005,T11-06,P087,P094,18,14
T11,2026-07-11,Tallink,Aliris,,4,1,C4,18,T11-07,P022,P065,T11-02,P001,P012,14,18
T11,2026-07-11,Tallink,Aliris,,4,1,C5,18,T11-09,P096,P004,T11-04,P039,P014,17,18
T11,2026-07-11,Tallink,Aliris,,4,1,C6,18,T11-01,P028,P021,T11-08,P095,P090,18,6
T11,2026-07-11,Tallink,Aliris,,5,1,C2,18,T11-03,P023,P009,T11-08,P095,P090,18,9
T11,2026-07-11,Tallink,Aliris,,5,1,C3,18,T11-05,P040,P005,T11-02,P001,P012,12,18
T11,2026-07-11,Tallink,Aliris,,5,1,C4,18,T11-07,P022,P065,T11-04,P039,P014,12,18
T11,2026-07-11,Tallink,Aliris,,5,1,C5,18,T11-09,P096,P004,T11-06,P087,P094,15,18
T11,2026-07-11,Tallink,Aliris,,5,1,C6,18,T11-01,P028,P021,T11-10,P076,P055,18,8
T11,2026-07-11,Tallink,Aliris,,6,1,C2,18,T11-03,P023,P009,T11-02,P001,P012,9,18
T11,2026-07-11,Tallink,Aliris,,6,1,C3,18,T11-05,P040,P005,T11-04,P039,P014,16,18
T11,2026-07-11,Tallink,Aliris,,6,1,C4,18,T11-07,P022,P065,T11-06,P087,P094,18,11
T11,2026-07-11,Tallink,Aliris,,6,1,C5,18,T11-09,P096,P004,T11-08,P095,P090,18,6
T11,2026-07-11,Tallink,Aliris,,6,1,C6,18,T11-01,P028,P021,T11-10,P076,P055,18,8
T11,2026-07-11,Tallink,Aliris,,7,1,C2,18,T11-01,P028,P021,T11-03,P023,P009,16,18
T11,2026-07-11,Tallink,Aliris,,7,1,C3,18,T11-05,P040,P005,T11-07,P022,P065,18,12
T11,2026-07-11,Tallink,Aliris,,7,1,C4,18,T11-06,P087,P094,T11-08,P095,P090,18,11
T11,2026-07-11,Tallink,Aliris,,7,1,C5,18,T11-09,P096,P004,T11-10,P076,P055,18,11
T11,2026-07-11,Tallink,Aliris,,7,1,C6,18,T11-02,P001,P012,T11-04,P039,P014,18,12
T11,2026-07-11,Tallink,Aliris,,8,1,C2,18,T11-01,P028,P021,T11-05,P040,P005,18,11
T11,2026-07-11,Tallink,Aliris,,8,1,C3,18,T11-03,P023,P009,T11-09,P096,P004,18,10
T11,2026-07-11,Tallink,Aliris,,8,1,C4,18,T11-04,P039,P014,T11-10,P076,P055,18,9
T11,2026-07-11,Tallink,Aliris,,8,1,C5,18,T11-07,P022,P065,T11-08,P095,P090,16,18
